Division,semEpidem,nuevos_propios,nuevos_externos,incidencia_semanal,acumulados_semana,porcentaje_asintomaticos,positividad_antigeno,tasa_positividad(1000),SE_incidencia,SE_positividad,SE_seguimientoInicio,SE_seguimientoDesempeno,SE_notificacionOportunidad,SE_contactosDeteccion,SE_trazabilidadOportuna,SE_trazabilidadDesempeno,SO_busqueda,SO_testeo,SO_asintomaticos,SO_brotes,SO_notificacionOportuna,SO_trazabilidadOportuna
DAND,17,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,17,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,17,1,0,0.08,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,17,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,17,0,0,0,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,17,0,1,0.17,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,17,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,17,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,17,0,0,0,15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,17,1,1,0.03,23,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,18,1,0,1.37,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,18,1,0,0.18,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,18,0,1,0.1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,18,1,0,0.08,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,18,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,18,0,0,0,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,18,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,18,1,0,0.25,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,18,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,18,0,0,0,15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,18,4,1,0.09,28,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,19,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,19,5,0,0.9,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,19,1,2,0.3,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,19,1,1,0.16,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,19,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,19,0,6,1.78,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,19,0,1,0.17,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,19,0,0,0,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,19,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,19,0,0,0,15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,19,7,10,0.29,45,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,20,0,2,2.74,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,20,2,1,0.54,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,20,2,6,0.79,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,20,1,4,0.41,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,20,1,1,0.62,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,20,1,4,1.48,13,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,20,0,3,0.51,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,20,0,0,0,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,20,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,20,0,1,0.09,16,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,20,7,22,0.49,74,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,21,1,0,1.37,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,21,0,7,1.26,17,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,21,0,6,0.6,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,21,1,17,1.47,29,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,21,0,2,0.62,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,21,2,4,1.78,19,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,21,1,3,0.67,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,21,0,3,0.75,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,21,0,2,1.06,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,21,0,15,1.28,31,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,21,5,59,1.09,138,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,22,3,0,4.11,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,22,0,6,1.08,23,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,22,11,18,2.88,47,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,22,0,9,0.73,38,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,22,2,4,1.85,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,22,0,6,1.78,25,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,22,1,4,0.84,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,22,0,0,0,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,22,0,5,2.65,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,22,0,15,1.28,46,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,22,17,67,1.43,222,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,23,0,0,0,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,23,3,16,3.42,42,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,23,19,5,2.38,71,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,23,6,15,1.71,59,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,23,1,12,4.01,23,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,23,2,11,3.86,38,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,23,3,4,1.18,21,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,23,0,1,0.25,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,23,2,0,1.06,9,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,23,1,19,1.7,66,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,23,37,83,2.04,342,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,24,0,1,1.37,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,24,3,10,2.34,55,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,24,58,7,6.45,136,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,24,7,26,2.69,92,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,24,4,7,3.4,34,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,24,5,24,8.6,67,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,24,6,10,2.7,37,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,24,0,3,0.75,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,24,1,4,2.65,14,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,24,3,36,3.32,105,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,24,87,128,3.66,557,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,25,5,0,6.85,13,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,25,37,13,9.01,105,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,25,172,23,19.35,331,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,25,212,88,24.43,392,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,25,7,42,15.13,83,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,25,9,22,9.2,98,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,25,20,37,9.62,94,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,25,0,3,0.75,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,25,1,4,2.65,19,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,25,5,65,5.96,175,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,25,468,297,13.01,1322,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,26,0,0,0,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,26,27,19,8.29,151,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,26,169,10,17.76,510,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,26,234,112,28.18,738,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,26,5,44,15.13,132,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,26,6,42,14.24,146,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,26,8,36,7.42,138,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,26,0,3,0.75,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,26,3,0,1.59,22,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,26,7,85,7.83,267,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,26,459,351,13.78,2132,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,27,0,1,1.37,14,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,27,15,13,5.05,179,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,27,122,2,12.31,634,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,27,197,85,22.96,1020,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,27,3,31,10.5,166,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,27,10,33,12.76,189,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,27,29,45,12.48,212,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,27,1,6,1.75,22,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,27,3,0,1.59,25,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,27,1,63,5.45,331,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,27,381,279,11.22,2792,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,28,0,0,0,14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,28,5,9,2.52,193,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,28,54,19,7.24,707,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,28,79,50,10.5,1149,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGM,28,2,36,11.73,204,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMH,28,5,36,12.16,230,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRT,28,14,40,9.11,266,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSAL,28,1,0,0.25,23,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,28,6,2,4.24,33,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,28,5,61,5.62,397,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLOBAL,28,171,253,7.21,3216,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,29,0,0,0,14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,29,4,18,3.97,215,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,29,38,24,6.15,769,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,29,31,31,5.05,1211,22.92,0.017,17,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DGM,29,4,18,6.79,226,35.29,0.006,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DMH,29,1,26,8.01,257,59.09,0.039,39,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DRT,29,10,29,6.58,305,12.9,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DSAL,29,1,1,0.5,25,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,29,4,1,2.65,38,0,0.027,27,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,29,0,36,3.07,433,45.16,0.007,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
GLOBAL,29,93,184,4.71,3493,31.17,0.016,16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
CM,30,0,0,0,14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,30,1,14,2.7,230,25,0.002,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DCH,30,19,16,3.47,804,52.94,0.056,56,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DET,30,16,36,4.23,1263,48.08,0.013,13,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DGM,30,1,14,4.63,241,40,0.002,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DMH,30,1,11,3.56,269,25,0.124,124,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DRT,30,7,28,5.9,340,25.71,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DSAL,30,1,0,0.25,26,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,30,0,3,1.59,41,33.33,0.155,155,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VP,30,0,16,1.36,449,43.75,0.011,11,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
GLOBAL,30,46,138,3.13,3677,40.22,0.034,34,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
CM,31,0,0,0,14,0,0.024,24,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAND,31,2,3,0.9,235,0,0.002,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCH,31,21,20,4.07,845,60.98,0.024,24,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
DET,31,5,11,1.3,1279,43.75,0.003,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DGM,31,1,9,3.09,251,60,0.006,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DMH,31,1,8,2.67,278,11.11,0.011,11,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DRT,31,1,17,3.04,358,0,0.031,31,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
DSAL,31,0,1,0.25,27,0,0.003,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DVEN,31,4,0,2.12,45,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
